TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
.	O	_	O	_	_	_	_	_	NoSpaceAfter|EndOfSentence
)	O	_	O	_	_	_	_	_	_
Nous	O	_	O	_	_	_	_	_	_
n	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
enavon¬	O	_	O	_	_	_	_	_	NoSpaceAfter|EndOfLine
qu	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
en	O	_	O	_	_	_	_	_	_
bouteille	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	_
Voulez	O	_	O	_	_	_	_	_	NoSpaceAfter
-	O	_	O	_	_	_	_	_	NoSpaceAfter
vous	O	_	O	_	_	_	_	_	_
du	O	_	O	_	_	_	_	_	_
bli	O	_	O	_	_	_	_	_	NoSpaceAfter
J	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
accepte	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	_
Et	O	_	O	_	_	_	_	_	_
le	O	_	O	_	_	_	_	_	_
même	O	_	O	_	_	_	_	_	_
cérémoninl	O	_	O	_	_	_	_	_	_
que	O	_	O	_	_	_	_	_	NoSpaceAfter
précédemment	O	_	O	_	_	_	_	_	_
recommence	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	_
Les	O	_	O	_	_	_	_	_	_
garçons	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	NoSpaceAfter|EndOfSentence
en	O	_	O	_	_	_	_	_	_
effet	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
vont	O	_	O	_	_	_	_	_	_
par	O	_	O	_	_	_	_	_	_
deux	O	_	O	_	_	_	_	_	_
comme	O	_	O	_	_	_	_	_	_
les	O	_	O	_	_	_	_	_	_
alexan¬	O	_	O	_	_	_	_	_	NoSpaceAfter|EndOfLine
drins	O	_	O	_	_	_	_	_	_
et	O	_	O	_	_	_	_	_	_
les	O	_	O	_	_	_	_	_	_
chevaux	O	_	O	_	_	_	_	_	_
de	O	_	O	_	_	_	_	_	_
corbillard	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	NoSpaceAfter|EndOfSentence
—	O	_	O	_	_	_	_	_	_
1	O	_	O	_	_	_	_	_	_
fr	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	_
25	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
monsieur	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	NoSpaceAfter|EndOfSentence
Je	O	_	O	_	_	_	_	_	_
reste	O	_	O	_	_	_	_	_	_
seul	O	_	O	_	_	_	_	_	_
devant	O	_	O	_	_	_	_	_	_
mon	O	_	O	_	_	_	_	_	_
vin	O	_	O	_	_	_	_	_	_
blanc	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	NoSpaceAfter|EndOfSentence
Et	O	_	O	_	_	_	_	_	_
je	O	_	O	_	_	_	_	_	_
sens	O	_	O	_	_	_	_	_	_
peu	O	_	O	_	_	_	_	_	_
à	O	_	O	_	_	_	_	_	_
peu	O	_	O	_	_	_	_	_	_
m	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
envahir	O	_	O	_	_	_	_	_	_
la	O	_	O	_	_	_	_	_	_
mé¬	O	_	O	_	_	_	_	_	NoSpaceAfter|EndOfLine
lancolie	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
apanage	O	_	O	_	_	_	_	_	_
de	O	_	O	_	_	_	_	_	_
ceux	O	_	O	_	_	_	_	_	_
qui	O	_	O	_	_	_	_	_	_
ne	O	_	O	_	_	_	_	_	_
font	O	_	O	_	_	_	_	_	_
pas	O	_	O	_	_	_	_	_	NoSpaceAfter
comme	O	_	O	_	_	_	_	_	_
tout	O	_	O	_	_	_	_	_	_
le	O	_	O	_	_	_	_	_	_
monde	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	NoSpaceAfter|EndOfSentence
Une	O	_	O	_	_	_	_	_	_
femme	O	_	O	_	_	_	_	_	_
peut	O	_	O	_	_	_	_	_	NoSpaceAfter
-	O	_	O	_	_	_	_	_	NoSpaceAfter
elle	O	_	O	_	_	_	_	_	_
boire	O	_	O	_	_	_	_	_	_
de	O	_	O	_	_	_	_	_	_
vin	O	_	O	_	_	_	_	_	NoSpaceAfter
au	O	_	O	_	_	_	_	_	_
café	O	_	O	_	_	_	_	_	_
?	O	_	O	_	_	_	_	_	NoSpaceAfter
La	O	_	O	_	_	_	_	_	_
salle	O	_	O	_	_	_	_	_	_
du	O	_	O	_	_	_	_	_	_
café	B-LOC	_	O	_	_	_	_	_	_
Mollard	B-PER	_	O	_	_	_	_	_	_
est	O	_	O	_	_	_	_	_	_
pleine	O	_	O	_	_	_	_	_	NoSpaceAfter
d	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
habitués	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	_
Le	O	_	O	_	_	_	_	_	_
garçon	O	_	O	_	_	_	_	_	_
m	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
indique	O	_	O	_	_	_	_	_	_
une	O	_	O	_	_	_	_	_	_
petite	O	_	O	_	_	_	_	_	NoSpaceAfter
table	O	_	O	_	_	_	_	_	_
vide	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
au	O	_	O	_	_	_	_	_	_
beau	O	_	O	_	_	_	_	_	_
milieu	O	_	O	_	_	_	_	_	_
de	O	_	O	_	_	_	_	_	_
l	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
assemblée	O	_	O	_	_	_	_	_	NoSpaceAfter
des	O	_	O	_	_	_	_	_	_
buveurs	O	_	O	_	_	_	_	_	_
:	O	_	O	_	_	_	_	_	NoSpaceAfter
—	O	_	O	_	_	_	_	_	_
Ce	O	_	O	_	_	_	_	_	_
sera	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
pour	O	_	O	_	_	_	_	_	_
Madame	O	_	O	_	_	_	_	_	_
?	O	_	O	_	_	_	_	_	NoSpaceAfter
—	O	_	O	_	_	_	_	_	_
Un	O	_	O	_	_	_	_	_	_
verre	O	_	O	_	_	_	_	_	_
de	O	_	O	_	_	_	_	_	_
bordeaux	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	NoSpaceAfter|EndOfSentence

# hipe2022:document_id = hidden_test_fr_2
# hipe2022:date = NA
# hipe2022:language = fr
# hipe2022:dataset = newseye
# hipe2022:document_type = newspaper
# hipe2022:original_source = NewsEye-GT-NER_EL_StD-v1/NewsEye-French/hidden_test.tsv
# newseye:decade = NA
# newseye:doi = https://doi.org/10.5281/zenodo.4573313
# newseye:version = v1.0
# newseye:publication_title =  L_OEuvre 
# newseye:original_license = CC-BY 4.0
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
Il	O	_	O	_	_	_	_	_	_
s	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
agit	O	_	O	_	_	_	_	_	_
d	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
un	O	_	O	_	_	_	_	_	_
avion	O	_	O	_	_	_	_	_	_
Nieuport	B-PER	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
ayant	O	_	O	_	_	_	_	_	_
ap¬	O	_	O	_	_	_	_	_	NoSpaceAfter|EndOfLine
partenu	O	_	O	_	_	_	_	_	_
à	O	_	O	_	_	_	_	_	_
l	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
escadrille	O	_	O	_	_	_	_	_	_
de	O	_	O	_	_	_	_	_	_
chasse	O	_	O	_	_	_	_	_	_
numéro	O	_	O	_	_	_	_	_	NoSpaceAfter
103	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
porté	O	_	O	_	_	_	_	_	_
perdu	O	_	O	_	_	_	_	_	_
à	O	_	O	_	_	_	_	_	_
l	O	_	O	_	_	_	_	_	NoSpaceAfter
’	O	_	O	_	_	_	_	_	NoSpaceAfter
ennemi	O	_	O	_	_	_	_	_	_
le	O	_	O	_	_	_	_	_	_
24	O	_	O	_	_	_	_	_	_
septembre	O	_	O	_	_	_	_	_	NoSpaceAfter
1916	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	NoSpaceAfter|EndOfSentence
Ce	O	_	O	_	_	_	_	_	_
jour	O	_	O	_	_	_	_	_	NoSpaceAfter
-	O	_	O	_	_	_	_	_	NoSpaceAfter
là	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
deux	O	_	O	_	_	_	_	_	_
avions	O	_	O	_	_	_	_	_	_
de	O	_	O	_	_	_	_	_	_
cette	O	_	O	_	_	_	_	_	_
esca¬	O	_	O	_	_	_	_	_	NoSpaceAfter|EndOfLine
drille	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
l	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
un	O	_	O	_	_	_	_	_	_
piloté	O	_	O	_	_	_	_	_	_
par	O	_	O	_	_	_	_	_	_
le	O	_	O	_	_	_	_	_	_
sergent	B-PER	_	O	_	_	_	_	_	_
Andre	I-PER	_	O	_	_	_	_	_	NoSpaceAfter
Steuer	I-PER	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
l	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
autre	O	_	O	_	_	_	_	_	_
par	O	_	O	_	_	_	_	_	_
le	O	_	O	_	_	_	_	_	_
sergent	B-PER	_	O	_	_	_	_	_	_
François	I-PER	_	O	_	_	_	_	_	_
Ro¬	I-PER	_	O	_	_	_	_	_	NoSpaceAfter|EndOfLine
mans	I-PER	_	O	_	_	_	_	_	_
se	O	_	O	_	_	_	_	_	_
sont	O	_	O	_	_	_	_	_	_
heurtés	O	_	O	_	_	_	_	_	_
en	O	_	O	_	_	_	_	_	_
attaquant	O	_	O	_	_	_	_	_	_
un	O	_	O	_	_	_	_	_	NoSpaceAfter
avion	O	_	O	_	_	_	_	_	_
allemand	O	_	O	_	_	_	_	_	_
dans	O	_	O	_	_	_	_	_	_
la	O	_	O	_	_	_	_	_	_
région	O	_	O	_	_	_	_	_	_
de	O	_	O	_	_	_	_	_	_
Rau¬	B-LOC	_	O	_	_	_	_	_	NoSpaceAfter|EndOfLine
court	I-LOC	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	_
Ces	O	_	O	_	_	_	_	_	_
deux	O	_	O	_	_	_	_	_	_
appareils	O	_	O	_	_	_	_	_	_
sont	O	_	O	_	_	_	_	_	_
tombés	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	NoSpaceAfter
désemparés	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
dans	O	_	O	_	_	_	_	_	_
le	O	_	O	_	_	_	_	_	_
bois	O	_	O	_	_	_	_	_	_
de	O	_	O	_	_	_	_	_	_
Saint	B-LOC	_	O	_	_	_	_	_	NoSpaceAfter
-	I-LOC	_	O	_	_	_	_	_	NoSpaceAfter
Pierre¬	I-LOC	_	O	_	_	_	_	_	NoSpaceAfter|EndOfLine
Vaast	I-LOC	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	NoSpaceAfter|EndOfSentence
Les	O	_	O	_	_	_	_	_	_
familles	O	_	O	_	_	_	_	_	_
des	O	_	O	_	_	_	_	_	_
deux	O	_	O	_	_	_	_	_	_
malheureux	O	_	O	_	_	_	_	_	_
pilo¬	O	_	O	_	_	_	_	_	NoSpaceAfter|EndOfLine
tes	O	_	O	_	_	_	_	_	_
ont	O	_	O	_	_	_	_	_	_
été	O	_	O	_	_	_	_	_	_
prévenues	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
afin	O	_	O	_	_	_	_	_	_
de	O	_	O	_	_	_	_	_	_
pouvoir	O	_	O	_	_	_	_	_	NoSpaceAfter
déterminer	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
par	O	_	O	_	_	_	_	_	_
des	O	_	O	_	_	_	_	_	_
renseignements	O	_	O	_	_	_	_	_	_
d	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
or¬	O	_	O	_	_	_	_	_	NoSpaceAfter|EndOfLine
dre	O	_	O	_	_	_	_	_	_
particulier	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
l	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
identification	O	_	O	_	_	_	_	_	_
définitive	O	_	O	_	_	_	_	_	NoSpaceAfter
du	O	_	O	_	_	_	_	_	_
corps	O	_	O	_	_	_	_	_	_
retrouvé	O	_	O	_	_	_	_	_	_
dans	O	_	O	_	_	_	_	_	_
l	O	_	O	_	_	_	_	_	NoSpaceAfter
’	O	_	O	_	_	_	_	_	NoSpaceAfter
appareil	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	NoSpaceAfter|EndOfSentence
RHOM	O	_	O	_	_	_	_	_	_
SUAMES	O	_	O	_	_	_	_	_	_
Les	O	_	O	_	_	_	_	_	NoSpaceAfter
Grands	O	_	O	_	_	_	_	_	_
Crus	O	_	O	_	_	_	_	_	NoSpaceAfter
de	O	_	O	_	_	_	_	_	_
5	O	_	O	_	_	_	_	_	_
James	O	_	O	_	_	_	_	_	NoSpaceAfter
(	O	_	O	_	_	_	_	_	NoSpaceAfter
Antilles	B-LOC	_	O	_	_	_	_	_	NoSpaceAfter
)	O	_	O	_	_	_	_	_	NoSpaceAfter
MARQUE	O	_	O	_	_	_	_	_	NoSpaceAfter
Rhum	O	_	O	_	_	_	_	_	NoSpaceAfter
Grand	O	_	O	_	_	_	_	_	_
Cru	O	_	O	_	_	_	_	_	NoSpaceAfter
unique	O	_	O	_	_	_	_	_	NoSpaceAfter
Monde	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	NoSpaceAfter|EndOfSentence
Les	O	_	O	_	_	_	_	_	_
Plantations	O	_	O	_	_	_	_	_	_
st	B-PER	_	O	_	_	_	_	_	NoSpaceAfter
-	I-PER	_	O	_	_	_	_	_	NoSpaceAfter
James	I-PER	_	O	_	_	_	_	_	_
doivent	O	_	O	_	_	_	_	_	_
e	O	_	O	_	_	_	_	_	_
e	O	_	O	_	_	_	_	_	_
paes	O	_	O	_	_	_	_	_	NoSpaceAfter
lountes	O	_	O	_	_	_	_	_	_
à	O	_	O	_	_	_	_	_	_
leure	O	_	O	_	_	_	_	_	_
nauns	O	_	O	_	_	_	_	_	_
pa	O	_	O	_	_	_	_	_	NoSpaceAfter
an	O	_	O	_	_	_	_	_	_
pramter	O	_	O	_	_	_	_	_	_
rant	O	_	O	_	_	_	_	_	_
par	O	_	O	_	_	_	_	_	_
leur	O	_	O	_	_	_	_	_	_
ansene	O	_	O	_	_	_	_	_	NoSpaceAfter
e	O	_	O	_	_	_	_	_	_
te	O	_	O	_	_	_	_	_	_
surerer	O	_	O	_	_	_	_	_	_
mair	O	_	O	_	_	_	_	_	_
et	O	_	O	_	_	_	_	_	_
taur	O	_	O	_	_	_	_	_	NoSpaceAfter
e	O	_	O	_	_	_	_	_	_
le	O	_	O	_	_	_	_	_	_
pepidee	O	_	O	_	_	_	_	_	_
quuy	O	_	O	_	_	_	_	_	_
et	O	_	O	_	_	_	_	_	NoSpaceAfter
tatos	O	_	O	_	_	_	_	_	_
la	O	_	O	_	_	_	_	_	_
senien	O	_	O	_	_	_	_	_	_
toes	O	_	O	_	_	_	_	_	_
a	O	_	O	_	_	_	_	_	_
esue	O	_	O	_	_	_	_	_	NoSpaceAfter
PLAREATCAneatle	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
REMERLE	O	_	O	_	_	_	_	_	_
SORPRIUE	O	_	O	_	_	_	_	_	_
LONDES	O	_	O	_	_	_	_	_	NoSpaceAfter
Produit	O	_	O	_	_	_	_	_	NoSpaceAfter
de	O	_	O	_	_	_	_	_	_
haute	O	_	O	_	_	_	_	_	NoSpaceAfter
sélection	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
provenant	O	_	O	_	_	_	_	_	_
d	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
incomparables	O	_	O	_	_	_	_	_	NoSpaceAfter
terroirs	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
élaboré	O	_	O	_	_	_	_	_	_
longuement	O	_	O	_	_	_	_	_	_
et	O	_	O	_	_	_	_	_	_
à	O	_	O	_	_	_	_	_	_
grands	O	_	O	_	_	_	_	_	NoSpaceAfter
frais	O	_	O	_	_	_	_	_	_
dans	O	_	O	_	_	_	_	_	_
les	O	_	O	_	_	_	_	_	_
vieilles	O	_	O	_	_	_	_	_	_
Rhummeries	O	_	O	_	_	_	_	_	NoSpaceAfter
St	B-LOC	_	O	_	_	_	_	_	_
James	I-PER	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
où	O	_	O	_	_	_	_	_	_
se	O	_	O	_	_	_	_	_	_
transmettent	O	_	O	_	_	_	_	_	_
de	O	_	O	_	_	_	_	_	_
géné¬	O	_	O	_	_	_	_	_	NoSpaceAfter|EndOfLine
ration	O	_	O	_	_	_	_	_	_
en	O	_	O	_	_	_	_	_	_
génération	O	_	O	_	_	_	_	_	_
les	O	_	O	_	_	_	_	_	_
procédés	O	_	O	_	_	_	_	_	NoSpaceAfter
spéciaux	O	_	O	_	_	_	_	_	_
et	O	_	O	_	_	_	_	_	_
les	O	_	O	_	_	_	_	_	_
secrets	O	_	O	_	_	_	_	_	_
de	O	_	O	_	_	_	_	_	_
fabrication	O	_	O	_	_	_	_	_	NoSpaceAfter
de	O	_	O	_	_	_	_	_	_
St	B-PER	_	O	_	_	_	_	_	_
James	I-PER	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
vieilli	O	_	O	_	_	_	_	_	_
sous	O	_	O	_	_	_	_	_	_
le	O	_	O	_	_	_	_	_	_
ciel	O	_	O	_	_	_	_	_	_
tropical	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	NoSpaceAfter
le	O	_	O	_	_	_	_	_	_
Rhum	O	_	O	_	_	_	_	_	_
St	O	_	O	_	_	_	_	_	_
James	I-PER	_	O	_	_	_	_	_	_
est	O	_	O	_	_	_	_	_	_
devenu	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
quand	O	_	O	_	_	_	_	_	NoSpaceAfter
il	O	_	O	_	_	_	_	_	_
arrive	O	_	O	_	_	_	_	_	_
en	O	_	O	_	_	_	_	_	_
Europe	B-LOC	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
la	O	_	O	_	_	_	_	_	_
délectable	O	_	O	_	_	_	_	_	_
et	O	_	O	_	_	_	_	_	NoSpaceAfter
précieuse	O	_	O	_	_	_	_	_	_
liqueur	O	_	O	_	_	_	_	_	_
à	O	_	O	_	_	_	_	_	_
l	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
arome	O	_	O	_	_	_	_	_	_
subtil	O	_	O	_	_	_	_	_	_
et	O	_	O	_	_	_	_	_	_
fin	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	NoSpaceAfter
au	O	_	O	_	_	_	_	_	_
bouquet	O	_	O	_	_	_	_	_	_
admirable	O	_	O	_	_	_	_	_	_
et	O	_	O	_	_	_	_	_	_
intraduisible	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	NoSpaceAfter
dont	O	_	O	_	_	_	_	_	_
s	O	_	O	_	_	_	_	_	NoSpaceAfter
